Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://10.10.1.103/Default.aspx,640,1238,664,3407,3781,4725,34,5664,7.656%,18.82796,12832.48,1104.82
http://10.10.1.103/Home.aspx,640,1449,1162,3584,4077,4587,31,4879,7.656%,18.93827,7056.11,439.63
http://10.10.1.103/ServiceToClearSession.asmx/RecordCloseTime,320,142,20,460,599,789,0,1019,0.000%,12.30012,2.27,4.85
Test,320,5518,6911,10631,11440,12386,170,13003,25.625%,9.41343,19848.06,1545.51
TOTAL,1920,1839,564,4716,8896,11231,0,13003,9.375%,56.48056,39696.12,3091.03
